"","グループ","カイ二乗","漸近p値","ブートストラップp値"
"全国_議員","政令市","0.83","0.6594","0.6200"
"全国_首長","政令市","0.18","0.9139","0.9150"
"政令市_議員","政令市","12.52","0.0019","0.0150"
"政令市_首長","政令市","1.05","0.5906","0.6900"
"全国_議員","特別区","0.96","0.6195","0.5500"
"全国_首長","特別区","0.30","0.8624","0.8850"
"特別区_議員","特別区","14.29","0.0008","0.0050"
"特別区_首長","特別区","6.90","0.0318","0.1250"
