"","モデル","係数","クラスター頑健p値","ブートストラップp値"
"議員1年_政令市","10.1 経過年度","-0.2280","0.0036","0.0790"
"議員2年_政令市","10.1 経過年度","0.0697","0.0710","0.1300"
"議員3年_政令市","10.1 経過年度","0.1210","0.0515","0.0590"
"首長1年_政令市","10.1 経過年度","-0.0768","0.1504","0.2570"
"首長2年_政令市","10.1 経過年度","-0.0398","0.2237","0.2540"
"首長3年_政令市","10.1 経過年度","-0.0595","0.1982","0.2460"
"議員選挙年_政令市","10.2 選挙年","0.0374","0.4292","0.4940"
"首長選挙年_政令市","10.2 選挙年","0.1672","0.0000","0.0010"
