"地域コード","都道府県","市区町村","地域","投票日","選挙名","議会議員","首長","補欠選挙","再選挙","政令指定都市","候補者数","年齢中央値","年齢最小値","年齢平均値","X65歳以上割合","新人割合","女性割合","自民公明割合","共産社民割合","無所属割合"
"R01208","北海道","北見市","北海道",2015-09-27,"北見市長選挙",0,1,0,0,0,2,62,62,62,0,1,0,0,0,1
"R01208","北海道","北見市","北海道",2018-03-25,"北見市議会議員選挙",1,0,0,0,0,32,62.5,42,62.3214285714286,0.25,0.214285714285714,0.178571428571429,0.142857142857143,0.107142857142857,0.714285714285714
"R01208","北海道","北見市","北海道",2019-09-08,"北見市長選挙",0,1,0,0,0,2,66,66,66,1,0,0,0,0,1
"R01209","北海道","夕張市","北海道",2015-04-26,"夕張市議会議員選挙",1,0,0,0,0,9,62,26,55.1111111111111,0.111111111111111,0.444444444444444,0.222222222222222,0.111111111111111,0.111111111111111,0.666666666666667
"R01209","北海道","夕張市","北海道",2015-04-26,"夕張市長選挙",0,1,0,0,0,1,34,34,34,0,0,0,0,0,1
"R01209","北海道","夕張市","北海道",2019-04-21,"夕張市議会議員選挙",1,0,0,0,0,9,66,30,59.875,0.75,0,0.25,0.125,0.125,0.75
"R01209","北海道","夕張市","北海道",2019-04-21,"夕張市長選挙",0,1,0,0,0,2,53,53,53,0,1,0,0,0,1
"R01210","北海道","岩見沢市","北海道",2012-09-09,"岩見沢市議会議員補欠選挙",1,0,1,0,0,2,41,41,41,0,1,0,0,0,1
"R01210","北海道","岩見沢市","北海道",2012-09-09,"岩見沢市長選挙",0,1,0,0,0,4,56,56,56,0,1,0,0,0,1
"R01210","北海道","岩見沢市","北海道",2015-04-26,"岩見沢市議会議員選挙",1,0,0,0,0,26,60,26,58.5454545454545,0.272727272727273,0.136363636363636,0.0454545454545455,0.0909090909090909,0.0909090909090909,0.772727272727273
"R01210","北海道","岩見沢市","北海道",2016-09-04,"岩見沢市長選挙",0,1,0,0,0,2,60,60,60,0,0,0,0,0,1
"R01210","北海道","岩見沢市","北海道",2019-04-21,"岩見沢市議会議員選挙",1,0,0,0,0,23,61,42,60.7272727272727,0.272727272727273,0.272727272727273,0,0.181818181818182,0.0909090909090909,0.727272727272727
"R01210","北海道","岩見沢市","北海道",2020-08-30,"岩見沢市長選挙",0,1,0,0,0,1,64,64,64,0,0,0,0,0,1
"R01211","北海道","網走市","北海道",2014-11-09,"網走市長選挙",0,1,0,0,0,1,51,51,51,0,0,0,0,0,1
"R01211","北海道","網走市","北海道",2015-04-26,"網走市議会議員選挙",1,0,0,0,0,20,46.5,32,48.125,0.0625,0.25,0.1875,0.125,0.0625,0.625
"R01211","北海道","網走市","北海道",2018-11-11,"網走市長選挙",0,1,0,0,0,1,55,55,55,0,0,0,0,0,1
"R01211","北海道","網走市","北海道",2019-04-21,"網走市議会議員選挙",1,0,0,0,0,17,52.5,36,52.8125,0.1875,0.25,0.125,0.1875,0.125,0.5
"R01212","北海道","留萌市","北海道",2014-02-23,"留萌市長選挙",0,1,0,0,0,1,63,63,63,0,0,0,0,0,1
"R01212","北海道","留萌市","北海道",2015-04-26,"留萌市議会議員選挙",1,0,0,0,0,17,58.5,41,58.6875,0.25,0.3125,0.25,0.125,0.0625,0.75
"R01212","北海道","留萌市","北海道",2018-02-25,"留萌市長選挙",0,1,0,0,0,2,61,61,61,0,1,0,0,0,1
"R01212","北海道","留萌市","北海道",2019-04-21,"留萌市議会議員選挙",1,0,0,0,0,16,61.5,41,59.5,0.285714285714286,0.285714285714286,0.428571428571429,0.142857142857143,0.0714285714285714,0.785714285714286
"R01213","北海道","苫小牧市","北海道",2014-06-29,"苫小牧市長選挙",0,1,0,0,0,2,64,64,64,0,0,0,1,0,0
"R01213","北海道","苫小牧市","北海道",2015-04-26,"苫小牧市議会議員選挙",1,0,0,0,0,30,57,35,54.8571428571429,0.0357142857142857,0.178571428571429,0.107142857142857,0.321428571428571,0.142857142857143,0.392857142857143
"R01213","北海道","苫小牧市","北海道",2018-07-01,"苫小牧市議会議員補欠選挙",1,0,1,0,0,5,49.5,49,49.5,0,1,0,0,0.5,0.5
"R01213","北海道","苫小牧市","北海道",2018-07-01,"苫小牧市長選挙",0,1,0,0,0,1,68,68,68,1,0,0,0,0,1
"R01213","北海道","苫小牧市","北海道",2019-04-21,"苫小牧市議会議員選挙",1,0,0,0,0,31,59,36,55.4285714285714,0.178571428571429,0.178571428571429,0.142857142857143,0.357142857142857,0.107142857142857,0.321428571428571
"R01214","北海道","稚内市","北海道",2015-04-26,"稚内市議会議員選挙",1,0,0,0,0,19,57,35,53.9444444444444,0.222222222222222,0.333333333333333,0.111111111111111,0.166666666666667,0.111111111111111,0.666666666666667
"R01214","北海道","稚内市","北海道",2015-04-26,"稚内市長選挙",0,1,0,0,0,1,65,65,65,1,0,0,0,0,1
"R01214","北海道","稚内市","北海道",2019-04-21,"稚内市議会議員選挙",1,0,0,0,0,19,60,39,57.7777777777778,0.277777777777778,0.166666666666667,0.222222222222222,0.166666666666667,0.111111111111111,0.666666666666667
"R01214","北海道","稚内市","北海道",2019-04-21,"稚内市長選挙",0,1,0,0,0,3,69,69,69,1,0,0,0,0,1
"R01215","北海道","美唄市","北海道",2015-06-14,"美唄市議会議員選挙",1,0,0,0,0,15,57,27,55.9285714285714,0.285714285714286,0.357142857142857,0.142857142857143,0.0714285714285714,0.142857142857143,0.785714285714286
"R01215","北海道","美唄市","北海道",2015-06-14,"美唄市長選挙",0,1,0,0,0,1,51,51,51,0,0,0,0,0,1
"R01215","北海道","美唄市","北海道",2019-06-09,"美唄市議会議員選挙",1,0,0,0,0,16,59,28,58.2857142857143,0.285714285714286,0.285714285714286,0.0714285714285714,0.0714285714285714,0,0.857142857142857
"R01215","北海道","美唄市","北海道",2019-06-09,"美唄市長選挙",0,1,0,0,0,2,66,66,66,1,1,0,0,0,1
"R01216","北海道","芦別市","北海道",2015-04-26,"芦別市議会議員選挙",1,0,0,0,0,15,63,35,59.0833333333333,0.333333333333333,0.416666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.666666666666667
"R01216","北海道","芦別市","北海道",2015-04-26,"芦別市長選挙",0,1,0,0,0,2,67,67,67,1,1,0,0,0,1
"R01216","北海道","芦別市","北海道",2017-02-26,"芦別市議会議員補欠選挙",1,0,1,0,0,3,44,44,44,0,1,0,0,0,1
"R01216","北海道","芦別市","北海道",2017-02-26,"芦別市長選挙",0,1,0,0,0,1,65,65,65,1,1,0,0,0,1
"R01216","北海道","芦別市","北海道",2019-04-21,"芦別市議会議員選挙",1,0,0,0,0,14,52.5,36,55.6666666666667,0.333333333333333,0.25,0,0.0833333333333333,0.0833333333333333,0.75
"R01216","北海道","芦別市","北海道",2021-02-21,"芦別市長選挙",0,1,0,0,0,1,69,69,69,1,0,0,0,0,1
"R01217","北海道","江別市","北海道",2015-04-26,"江別市議会議員選挙",1,0,0,0,0,32,58,31,54.8888888888889,0.148148148148148,0.148148148148148,0.333333333333333,0.185185185185185,0.111111111111111,0.592592592592593
"R01217","北海道","江別市","北海道",2015-04-26,"江別市長選挙",0,1,0,0,0,3,66,66,66,1,0,0,0,0,1
"R01217","北海道","江別市","北海道",2019-04-21,"江別市議会議員選挙",1,0,0,0,0,29,59,35,56.04,0.16,0.28,0.48,0.28,0.12,0.48
"R01217","北海道","江別市","北海道",2019-04-21,"江別市長選挙",0,1,0,0,0,2,70,70,70,1,0,0,0,0,1
"R01218","北海道","赤平市","北海道",2015-04-26,"赤平市議会議員選挙",1,0,0,0,0,11,64.5,39,58.6,0.5,0.3,0.2,0.1,0.1,0.7
"R01218","北海道","赤平市","北海道",2015-04-26,"赤平市長選挙",0,1,0,0,0,1,65,65,65,1,1,0,0,0,1
"R01218","北海道","赤平市","北海道",2019-04-21,"赤平市議会議員選挙",1,0,0,0,0,11,64.5,43,63.4,0.5,0.3,0.1,0.1,0.1,0.6
"R01218","北海道","赤平市","北海道",2019-04-21,"赤平市長選挙",0,1,0,0,0,2,51,51,51,0,1,0,0,0,1
"R01219","北海道","紋別市","北海道",2013-06-16,"紋別市長選挙",0,1,0,0,0,2,59,59,59,0,0,0,0,0,1
"R01219","北海道","紋別市","北海道",2014-07-13,"紋別市議会議員選挙",1,0,0,0,0,18,61.5,32,60.6875,0.375,0.125,0.0625,0.4375,0.0625,0.4375
"R01219","北海道","紋別市","北海道",2017-06-18,"紋別市長選挙",0,1,0,0,0,1,63,63,63,0,0,0,0,0,1
"R01219","北海道","紋別市","北海道",2018-07-22,"紋別市議会議員選挙",1,0,0,0,0,18,59.5,37,57.5625,0.3125,0.3125,0.0625,0.3125,0.0625,0.5625
"R01219","北海道","紋別市","北海道",2021-06-20,"紋別市議会議員補欠選挙",1,0,1,0,0,2,47,47,47,0,1,0,0.5,0,0.5
"R01219","北海道","紋別市","北海道",2021-06-20,"紋別市長選挙",0,1,0,0,0,1,67,67,67,1,0,0,0,0,1
"R01220","北海道","士別市","北海道",2013-09-08,"士別市長選挙",0,1,0,0,0,1,62,62,62,0,0,0,0,0,1
"R01220","北海道","士別市","北海道",2014-04-13,"士別市議会議員選挙",1,0,0,0,0,18,59,41,58.4117647058824,0.235294117647059,0.235294117647059,0,0.117647058823529,0.0588235294117647,0.764705882352941
"R01220","北海道","士別市","北海道",2017-09-10,"士別市長選挙",0,1,0,0,0,1,66,66,66,1,0,0,0,0,1
"R01220","北海道","士別市","北海道",2018-04-15,"士別市議会議員選挙",1,0,0,0,0,18,58,41,58.3529411764706,0.352941176470588,0.235294117647059,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.823529411764706
"R01220","北海道","士別市","北海道",2021-09-12,"士別市議会議員補欠選挙",1,0,1,0,0,2,54,46,54,0,1,0.5,0,0,0.5
"R01220","北海道","士別市","北海道",2021-09-12,"士別市長選挙",0,1,0,0,0,2,48,48,48,0,1,0,0,0,1
"R01221","北海道","名寄市","北海道",2014-04-13,"名寄市議会議員補欠選挙",1,0,1,0,0,2,60.5,60,60.5,0,1,0.5,0,0,1
"R01221","北海道","名寄市","北海道",2014-04-13,"名寄市長選挙",0,1,0,0,0,1,43,43,43,0,0,0,0,0,1
"R01221","北海道","名寄市","北海道",2015-04-26,"名寄市議会議員選挙",1,0,0,0,0,18,60,40,58.8888888888889,0.166666666666667,0.277777777777778,0.222222222222222,0.111111111111111,0.111111111111111,0.777777777777778
"R01221","北海道","名寄市","北海道",2018-04-15,"名寄市長選挙",0,1,0,0,0,1,47,47,47,0,0,0,0,0,1
"R01221","北海道","名寄市","北海道",2019-04-21,"名寄市議会議員選挙",1,0,0,0,0,19,61.5,32,56.9444444444444,0.277777777777778,0.388888888888889,0.222222222222222,0.0555555555555556,0.0555555555555556,0.888888888888889
"R01222","北海道","三笠市","北海道",2015-04-26,"三笠市議会議員選挙",1,0,0,0,0,10,57,33,55,0.1,0.3,0,0.1,0.1,0.8
"R01222","北海道","三笠市","北海道",2015-04-26,"三笠市長選挙",0,1,0,0,0,1,64,64,64,0,1,0,0,0,1
"R01222","北海道","三笠市","北海道",2019-04-21,"三笠市議会議員選挙",1,0,0,0,0,11,60.5,37,58.7,0.3,0.2,0,0.1,0.1,0.8
"R01222","北海道","三笠市","北海道",2019-04-21,"三笠市長選挙",0,1,0,0,0,1,68,68,68,1,0,0,0,0,1
"R01223","北海道","根室市","北海道",2013-09-01,"根室市議会議員選挙",1,0,0,0,0,19,57,36,56.8333333333333,0.222222222222222,0.111111111111111,0.111111111111111,0.166666666666667,0.166666666666667,0.555555555555556
"R01223","北海道","根室市","北海道",2014-09-14,"根室市長選挙",0,1,0,0,0,2,69,69,69,1,0,0,1,1,0
"R01223","北海道","根室市","北海道",2017-09-10,"根室市議会議員選挙",1,0,0,0,0,20,60,40,58.5555555555556,0.333333333333333,0.222222222222222,0.111111111111111,0.166666666666667,0.111111111111111,0.555555555555556
"R01223","北海道","根室市","北海道",2018-09-09,"根室市長選挙",0,1,0,0,0,2,67,67,67,1,1,0,1,0,0
"R01223","北海道","根室市","北海道",2021-08-22,"根室市議会議員選挙",1,0,0,0,0,18,60,26,59.125,0.25,0.1875,0.111111111111111,0.125,0.125,0.5625
"R01224","北海道","千歳市","北海道",2013-05-26,"千歳市議会議員選挙",1,0,0,0,0,25,59,32,55.68,0.16,0.12,0.16,0.56,0.04,0.4
"R01224","北海道","千歳市","北海道",2015-04-26,"千歳市議会議員補欠選挙",1,0,1,0,0,5,49,44,50.3333333333333,0,1,0,0.666666666666667,0,0.333333333333333
"R01224","北海道","千歳市","北海道",2015-04-26,"千歳市長選挙",0,1,0,0,0,1,73,73,73,1,0,0,0,0,1
"R01224","北海道","千歳市","北海道",2017-05-28,"千歳市議会議員選挙",1,0,0,0,0,31,55,32,53.9565217391304,0.0869565217391304,0.304347826086957,0.260869565217391,0.565217391304348,0.0434782608695652,0.347826086956522
"R01224","北海道","千歳市","北海道",2019-04-21,"千歳市長選挙",0,1,0,0,0,1,77,77,77,1,0,0,0,0,1
"R01224","北海道","千歳市","北海道",2021-05-30,"千歳市議会議員選挙",1,0,0,0,0,27,55,36,54.6086956521739,0.130434782608696,0.173913043478261,0.260869565217391,0.565217391304348,0.0434782608695652,0.304347826086957
"R01225","北海道","滝川市","北海道",2015-04-26,"滝川市議会議員選挙",1,0,0,0,0,20,60,45,59.7777777777778,0.222222222222222,0.166666666666667,0.0555555555555556,0.166666666666667,0.111111111111111,0.666666666666667
"R01225","北海道","滝川市","北海道",2015-04-26,"滝川市長選挙",0,1,0,0,0,1,60,60,60,0,0,0,0,0,1
"R01225","北海道","滝川市","北海道",2019-04-21,"滝川市議会議員選挙",1,0,0,0,0,17,62.5,50,62.5625,0.4375,0.125,0.125,0.125,0.0625,0.6875
"R01225","北海道","滝川市","北海道",2019-04-21,"滝川市長選挙",0,1,0,0,0,1,64,64,64,0,0,0,0,0,1
"R01226","北海道","砂川市","北海道",2015-04-26,"砂川市議会議員選挙",1,0,0,0,0,14,58.5,37,56.6428571428571,0.285714285714286,0.285714285714286,0.0714285714285714,0.142857142857143,0.0714285714285714,0.714285714285714
"R01226","北海道","砂川市","北海道",2015-04-26,"砂川市長選挙",0,1,0,0,0,1,65,65,65,1,0,0,0,0,1
"R01226","北海道","砂川市","北海道",2019-04-21,"砂川市議会議員選挙",1,0,0,0,0,15,62,28,59.6153846153846,0.384615384615385,0.153846153846154,0.153846153846154,0.0769230769230769,0.0769230769230769,0.769230769230769
"R01226","北海道","砂川市","北海道",2019-04-21,"砂川市長選挙",0,1,0,0,0,1,69,69,69,1,0,0,0,0,1
"R01227","北海道","歌志内市","北海道",2012-10-21,"歌志内市議会議員補欠選挙",1,0,1,0,0,2,51,51,51,0,1,1,0,0,1
"R01227","北海道","歌志内市","北海道",2012-10-21,"歌志内市長選挙",0,1,0,0,0,2,65,65,65,1,1,0,0,0,1
"R01227","北海道","歌志内市","北海道",2015-04-26,"歌志内市議会議員選挙",1,0,0,0,0,8,61.5,32,56.625,0.375,0.25,0.375,0.125,0.125,0.625
"R01227","北海道","歌志内市","北海道",2016-10-23,"歌志内市議会議員補欠選挙",1,0,1,0,0,1,45,45,45,0,1,0,0,0,1
"R01227","北海道","歌志内市","北海道",2016-10-23,"歌志内市長選挙",0,1,0,0,0,1,69,69,69,1,0,0,0,0,1
"R01227","北海道","歌志内市","北海道",2019-04-21,"歌志内市議会議員選挙",1,0,0,0,0,8,60.5,36,58.5,0.25,0.25,0.25,0.125,0.125,0.625
"R01227","北海道","歌志内市","北海道",2020-10-18,"歌志内市長選挙",0,1,0,0,0,2,63,63,63,0,1,0,0,0,1
"R01228","北海道","深川市","北海道",2014-12-21,"深川市長選挙",0,1,0,0,0,1,62,62,62,0,0,0,0,0,1
"R01228","北海道","深川市","北海道",2015-06-14,"深川市議会議員選挙",1,0,0,0,0,18,58.5,47,59.3125,0.25,0.3125,0.125,0.0625,0.125,0.75
"R01228","北海道","深川市","北海道",2018-12-23,"深川市長選挙",0,1,0,0,0,1,66,66,66,1,0,0,0,0,1
"R01228","北海道","深川市","北海道",2019-06-09,"深川市議会議員選挙",1,0,0,0,0,15,60,54,62.3571428571429,0.357142857142857,0.285714285714286,0.142857142857143,0.0714285714285714,0.0714285714285714,0.714285714285714
"R01229","北海道","富良野市","北海道",2014-04-20,"富良野市議会議員補欠選挙",1,0,1,0,0,3,54,54,54,0,1,0,0,0,1
"R01229","北海道","富良野市","北海道",2014-04-20,"富良野市長選挙",0,1,0,0,0,1,74,74,74,1,0,0,0,0,1
"R01229","北海道","富良野市","北海道",2015-04-26,"富良野市議会議員選挙",1,0,0,0,0,20,60,32,57.3333333333333,0.111111111111111,0.166666666666667,0.111111111111111,0.0555555555555556,0,0.888888888888889
"R01229","北海道","富良野市","北海道",2018-04-22,"富良野市議会議員補欠選挙",1,0,1,0,0,4,49,39,50.3333333333333,0,0.666666666666667,0.333333333333333,0,0,1
"R01229","北海道","富良野市","北海道",2018-04-22,"富良野市長選挙",0,1,0,0,0,3,63,63,63,0,1,0,0,0,1
"R01229","北海道","富良野市","北海道",2019-04-21,"富良野市議会議員選挙",1,0,0,0,0,19,63.5,36,58.8333333333333,0.277777777777778,0.111111111111111,0.222222222222222,0.0555555555555556,0,0.944444444444444
"R01230","北海道","登別市","北海道",2012-08-05,"登別市議会議員補欠選挙",1,0,1,0,0,3,45,45,45,0,1,0,0,0,1
"R01230","北海道","登別市","北海道",2012-08-05,"登別市長選挙",0,1,0,0,0,1,45,45,45,0,0,0,0,0,1
"R01230","北海道","登別市","北海道",2015-04-26,"登別市議会議員選挙",1,0,0,0,0,21,55,34,55.7368421052632,0.263157894736842,0.263157894736842,0.210526315789474,0.157894736842105,0.105263157894737,0.631578947368421
"R01230","北海道","登別市","北海道",2016-08-07,"登別市議会議員補欠選挙",1,0,1,0,0,1,29,29,29,0,1,1,0,0,1
"R01230","北海道","登別市","北海道",2016-08-07,"登別市長選挙",0,1,0,0,0,1,49,49,49,0,0,0,0,0,1
"R01230","北海道","登別市","北海道",2019-04-21,"登別市議会議員選挙",1,0,0,0,0,21,56,32,53.5263157894737,0.105263157894737,0.210526315789474,0.157894736842105,0.157894736842105,0.105263157894737,0.631578947368421
"R01230","北海道","登別市","北海道",2020-08-23,"登別市長選挙",0,1,0,0,0,1,53,53,53,0,0,0,0,0,1
"R01231","北海道","恵庭市","北海道",2013-11-17,"恵庭市長選挙",0,1,0,0,0,1,61,61,61,0,0,0,0,0,1
