市区町村,種別,日付,候補者数,年齢中央値,年齢最小値,男性,女性,新人割合,65歳以上割合,自民+公明割合,共産+社民割合,無所属割合
南三陸町,首長,2021/10/24,1,69.0,69.0,1,0,0.0,1.0,0.0,0.0,1.0
南丹市,議員,2014/2/9,22,61.0,37.0,21,1,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.13636363636363635,0.7727272727272727
南丹市,議員,2018/2/11,22,61.5,40.0,21,1,0.3181818181818182,0.4090909090909091,0.09090909090909091,0.13636363636363635,0.7727272727272727
南丹市,首長,2014/4/6,1,59.0,59.0,1,0,0.0,0.0,0.0,0.0,1.0
南丹市,首長,2018/4/8,1,64.0,64.0,1,0,1.0,0.0,0.0,0.0,1.0
南九州市,議員,2015/12/13,20,62.5,26.0,17,3,0.35,0.3,0.0,0.1,0.9
南九州市,議員,2019/12/15,20,66.0,30.0,17,3,0.15,0.55,0.0,0.1,0.9
南九州市,首長,2015/12/13,1,62.0,62.0,1,0,1.0,0.0,0.0,0.0,1.0
南九州市,首長,2019/12/15,1,66.0,66.0,1,0,0.0,1.0,0.0,0.0,1.0
南伊勢町,議員,2014/4/20,14,58.5,31.0,14,0,0.0,0.21428571428571427,0.0,0.14285714285714285,0.8571428571428571
南伊勢町,議員,2018/4/22,14,58.5,35.0,14,0,0.14285714285714285,0.35714285714285715,0.0,0.14285714285714285,0.8571428571428571
南伊勢町,首長,2013/10/27,1,62.0,62.0,1,0,0.0,0.0,0.0,0.0,1.0
南伊勢町,首長,2017/10/22,1,66.0,66.0,1,0,0.0,1.0,0.0,0.0,1.0
南伊勢町,首長,2021/10/24,1,61.0,61.0,1,0,1.0,0.0,0.0,0.0,1.0
南伊豆町,議員,2015/7/26,11,67.0,44.0,0,0,0.2727272727272727,0.6363636363636364,0.0,0.09090909090909091,0.9090909090909091
南伊豆町,議員,2019/7/28,11,70.0,48.0,11,0,0.09090909090909091,0.5454545454545454,0.0,0.09090909090909091,0.9090909090909091
南伊豆町,首長,2013/4/21,1,65.0,65.0,1,0,1.0,1.0,0.0,0.0,1.0
南伊豆町,首長,2017/4/30,1,54.0,54.0,1,0,1.0,0.0,0.0,0.0,1.0
南会津町,議員,2015/4/26,18,63.5,40.0,17,1,0.2777777777777778,0.4444444444444444,0.05555555555555555,0.0,0.9444444444444444
南会津町,議員,2019/4/21,16,64.5,44.0,15,1,0.25,0.5,0.0625,0.0,0.875
南会津町,首長,2014/4/20,1,65.0,65.0,1,0,0.0,1.0,0.0,0.0,1.0
南会津町,首長,2018/4/22,1,69.0,69.0,1,0,0.0,1.0,0.0,0.0,1.0
南国市,議員,2015/10/11,21,64.0,39.0,17,4,0.14285714285714285,0.47619047619047616,0.09523809523809523,0.23809523809523808,0.6190476190476191
南国市,議員,2019/10/13,21,64.0,43.0,16,5,0.14285714285714285,0.47619047619047616,0.09523809523809523,0.23809523809523808,0.6190476190476191
南国市,首長,2015/12/6,1,69.0,69.0,1,0,0.0,1.0,0.0,0.0,1.0
南国市,首長,2017/8/6,1,54.0,54.0,1,0,1.0,0.0,0.0,0.0,1.0
南城市,議員,2014/9/7,20,,,18,2,0.0,0.0,0.05,0.05,0.85
南城市,議員,2018/9/9,20,57.5,32.0,18,2,0.3,0.15,0.05,0.05,0.85
南城市,首長,2014/1/26,1,58.0,58.0,1,0,0.0,0.0,0.0,0.0,1.0
南城市,首長,2018/1/21,1,59.0,59.0,1,0,1.0,0.0,0.0,1.0,0.0
南大東村,議員,2014/6/29,8,55.5,52.0,7,1,0.25,0.125,0.0,0.0,1.0
南大東村,議員,2018/6/24,8,61.0,56.0,8,0,0.375,0.125,0.0,0.0,1.0
南大東村,首長,2014/6/29,1,55.0,55.0,1,0,0.0,0.0,0.0,0.0,1.0
南大東村,首長,2018/6/24,1,59.0,59.0,1,0,0.0,0.0,0.0,0.0,1.0
南大隅町,議員,2013/4/14,12,64.0,53.0,12,0,0.08333333333333333,0.5,0.0,0.0,1.0
南大隅町,議員,2017/4/16,12,63.5,53.0,9,3,0.25,0.3333333333333333,0.0,0.0,1.0
南大隅町,議員,2021/4/18,12,61.0,42.0,9,3,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0
南大隅町,首長,2013/4/14,1,54.0,54.0,1,0,0.0,0.0,0.0,0.0,1.0
南大隅町,首長,2017/4/16,1,58.0,58.0,1,0,0.0,0.0,0.0,0.0,1.0
南大隅町,首長,2021/4/18,1,65.0,65.0,1,0,1.0,1.0,0.0,0.0,1.0
南富良野町,議員,2015/4/26,8,62.0,48.0,8,0,0.0,0.375,0.0,0.0,1.0
南富良野町,議員,2019/4/21,8,67.0,48.0,8,0,0.375,0.75,0.0,0.0,1.0
南富良野町,首長,2012/4/22,1,62.0,62.0,1,0,0.0,0.0,0.0,0.0,1.0
南富良野町,首長,2016/4/24,1,66.0,66.0,1,0,0.0,1.0,0.0,0.0,1.0
南富良野町,首長,2020/4/26,1,70.0,70.0,1,0,0.0,1.0,0.0,0.0,1.0
南小国町,議員,2015/4/26,10,60.5,49.0,10,0,0.4,0.2,0.0,0.1,0.9
南小国町,議員,2019/4/21,10,60.0,35.0,9,1,0.3,0.3,0.0,0.0,1.0
南小国町,首長,2015/4/26,1,42.0,42.0,1,0,1.0,0.0,0.0,0.0,1.0
南小国町,首長,2019/4/21,1,46.0,46.0,1,0,0.0,0.0,0.0,0.0,1.0
南山城村,議員,2012/3/25,10,62.5,55.0,10,0,0.5,0.4,0.0,0.1,0.9
南山城村,議員,2016/3/27,10,64.0,43.0,9,1,0.4,0.5,0.1,0.2,0.7
南山城村,議員,2020/3/29,10,69.0,63.0,8,2,0.2,0.9,0.1,0.2,0.7
南山城村,首長,2015/6/21,1,76.0,76.0,1,0,0.0,1.0,0.0,0.0,1.0
南山城村,首長,2019/6/23,1,68.0,68.0,1,0,1.0,1.0,0.0,0.0,1.0
南島原市,議員,2014/4/20,21,64.0,47.0,21,0,0.047619047619047616,0.47619047619047616,0.2857142857142857,0.09523809523809523,0.6190476190476191
南島原市,議員,2018/6/10,19,67.0,42.0,18,1,0.10526315789473684,0.6842105263157895,0.3684210526315789,0.10526315789473684,0.5263157894736842
南島原市,首長,2014/4/20,1,67.0,67.0,1,0,0.0,1.0,0.0,0.0,1.0
南島原市,首長,2014/7/20,1,66.0,66.0,1,0,1.0,1.0,0.0,0.0,1.0
南島原市,首長,2018/6/10,1,70.0,70.0,1,0,0.0,1.0,0.0,0.0,1.0
南幌町,議員,2015/4/26,11,61.0,56.0,7,4,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.8181818181818182
南幌町,議員,2019/4/21,11,65.0,60.0,7,4,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.8181818181818182
南幌町,首長,2012/12/23,1,62.0,62.0,1,0,0.0,0.0,0.0,0.0,1.0
南幌町,首長,2016/12/25,1,66.0,66.0,1,0,0.0,1.0,0.0,0.0,1.0
南幌町,首長,2020/10/4,1,60.0,60.0,1,0,1.0,0.0,0.0,0.0,1.0
南房総市,議員,2014/4/20,20,63.5,34.0,18,2,0.1,0.45,0.05,0.05,0.9
南房総市,議員,2018/4/15,18,63.5,38.0,16,2,0.2222222222222222,0.5,0.05555555555555555,0.05555555555555555,0.8888888888888888
南房総市,首長,2014/4/20,1,48.0,48.0,1,0,0.0,0.0,0.0,0.0,1.0
南房総市,首長,2018/4/15,1,52.0,52.0,1,0,0.0,0.0,0.0,0.0,1.0
南木曽町,議員,2012/4/15,9,61.0,43.0,9,0,0.4444444444444444,0.2222222222222222,0.0,0.2222222222222222,0.7777777777777778
